OTU,Genus,Family,Order,Class,Phylum
187,Otu000505,Anaerofustis,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes
188,Otu000512,Barnesiella,Porphyromonadaceae,Bacteroidales,Bacteroidia,Bacteroidetes
189,Otu000519,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidetes
190,Otu000522,Clostridium_IV,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
191,Otu000531,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidetes
192,Otu000550,Oscillibacter,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
193,Otu000555,Leuconostoc,Leuconostocaceae,Lactobacillales,Bacilli,Firmicutes
194,Otu000569,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes
195,Otu000576,Sporobacter,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
196,Otu000577,Peptoniphilus,Clostridiales_Incertae_Sedis_XI,Clostridiales,Clostridia,Firmicutes
197,Otu000578,Eubacterium,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes
198,Otu000587,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria
199,Otu000588,Butyricicoccus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
200,Otu000589,Paraprevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidetes
201,Otu000591,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes
202,Otu000594,Clostridium_XI,Peptostreptococcaceae,Clostridiales,Clostridia,Firmicutes
203,Otu000602,Clostridium_XlVa,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
204,Otu000603,Anaerorhabdus,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes
205,Otu000607,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidetes
206,Otu000616,Clostridium_XlVb,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
207,Otu000618,Eikenella,Neisseriaceae,Neisseriales,Betaproteobacteria,Proteobacteria
208,Otu000620,Butyricimonas,Porphyromonadaceae,Bacteroidales,Bacteroidia,Bacteroidetes
209,Otu000624,Neisseria,Neisseriaceae,Neisseriales,Betaproteobacteria,Proteobacteria
210,Otu000642,Ralstonia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria
211,Otu000643,Mogibacterium,Clostridiales_Incertae_Sedis_XIII,Clostridiales,Clostridia,Firmicutes
212,Otu000650,Atopobium,Coriobacteriaceae,Coriobacteriales,Actinobacteria,Actinobacteria
213,Otu000654,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidetes
214,Otu000656,Oscillibacter,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
215,Otu000663,Clostridium_III,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
216,Otu000668,Solobacterium,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,Firmicutes
217,Otu000671,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidetes
218,Otu000672,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidetes
219,Otu000685,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes
220,Otu000687,Akkermansia,Verrucomicrobiaceae,Verrucomicrobiales,Verrucomicrobiae,Verrucomicrobia
221,Otu000693,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
222,Otu000702,Methylobacterium,Methylobacteriaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
223,Otu000711,Gordonibacter,Coriobacteriaceae,Coriobacteriales,Actinobacteria,Actinobacteria
224,Otu000714,Oscillibacter,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
225,Otu000720,Clostridium_XlVa,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes
226,Otu000730,Allobaculum,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,Firmicutes
227,Otu000749,Megasphaera,Veillonellaceae,Selenomonadales,Negativicutes,Firmicutes
228,Otu000751,Corynebacterium,Corynebacteriaceae,Actinomycetales,Actinobacteria,Actinobacteria
229,Otu000772,Rothia,Micrococcaceae,Actinomycetales,Actinobacteria,Actinobacteria
230,Otu000774,Finegoldia,Clostridiales_Incertae_Sedis_XI,Clostridiales,Clostridia,Firmicutes
231,Otu000777,Alloscardovia,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria
232,Otu000781,Oscillibacter,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes
